Year,Month,Hotel_ID,Actual_Housekeeping,Actual_Kitchen,Actual_Waiters,AI_Housekeeping,AI_Kitchen,AI_Waiters,Actual_Total,AI_Total,Saved_Shifts,Saved_Hours
2022,5,DJ,1135,706,1080,819,670,834,2921,2323,598,4186
2022,5,DT,994,1031,890,894,1037,648,2915,2579,336,2352
2022,6,DJ,1330,824,1179,915,749,934,3333,2598,735,5145
2022,6,DT,1037,1060,912,872,1020,631,3009,2523,486,3402
2022,7,DJ,1360,839,1324,1103,896,1135,3523,3134,389,2723
2022,7,DT,1012,1058,1118,845,982,630,3188,2457,731,5117
2022,8,DJ,1291,898,1313,725,593,701,3502,2019,1483,10381
2022,8,DT,978,956,1057,672,788,497,2991,1957,1034,7238
2022,9,DJ,1424,886,1266,1079,878,1077,3576,3034,542,3794
2022,9,DT,934,879,1020,694,793,502,2833,1989,844,5908
2022,10,DJ,1474,914,1275,1205,985,1207,3663,3397,266,1862
2022,10,DT,997,811,947,748,857,538,2755,2143,612,4284
2022,11,DJ,1457,935,1250,1483,1217,1479,3642,4179,0,0
2022,11,DT,917,835,930,780,912,566,2682,2258,424,2968
2022,12,DJ,1453,1060,1350,1290,1055,1286,3863,3631,232,1624
2022,12,DT,934,855,1010,607,706,462,2799,1775,1024,7168
2023,1,DJ,1414,966,1301,1070,874,1051,3681,2995,686,4802
2023,1,DT,843,610,783,634,731,455,2236,1820,416,2912
2023,2,DJ,1458,916,1243,1244,1016,1245,3617,3505,112,784
2023,2,DT,886,641,821,698,817,508,2348,2023,325,2275
2023,3,DJ,1679,1079,1437,1520,1241,1525,4195,4286,0,0
2023,3,DT,1051,784,933,788,928,576,2768,2292,476,3332
2023,4,DJ,1482,978,1264,1216,989,1220,3724,3425,299,2093
2023,4,DT,934,729,803,730,839,524,2466,2093,373,2611
2023,5,DJ,1669,1101,1438,1515,1244,1500,4208,4259,0,0
2023,5,DT,996,775,987,835,983,600,2758,2418,340,2380
2023,6,DJ,1562,1069,1431,1310,1072,1342,4062,3724,338,2366
2023,6,DT,1085,838,1083,938,1091,693,3006,2722,284,1988
2023,7,DJ,1457,1068,1243,898,735,888,3768,2521,1247,8729
2023,7,DT,949,762,1022,732,852,540,2733,2124,609,4263
2023,8,DJ,1549,1137,1293,894,738,866,3979,2498,1481,10367
2023,8,DT,1102,840,1020,839,982,609,2962,2430,532,3724
2023,9,DJ,1454,1000,1221,993,813,1055,3675,2861,814,5698
2023,9,DT,882,839,851,636,738,485,2572,1859,713,4991
2023,10,DJ,1387,807,1271,1207,979,1170,3465,3356,109,763
2023,10,DT,565,459,465,394,352,230,1489,976,513,3591
2023,11,DJ,1429,754,1212,1467,1200,1456,3395,4123,0,0
2023,11,DT,557,557,470,357,356,241,1584,954,630,4410
2023,12,DJ,1363,761,1170,1253,1019,1281,3294,3553,0,0
2023,12,DT,773,662,586,528,606,416,2021,1550,471,3297
2024,1,DJ,1355,656,1084,1272,1043,1261,3095,3576,0,0
2024,1,DT,812,760,519,538,602,399,2091,1539,552,3864
2024,2,DJ,1305,662,1032,1204,979,1221,2999,3404,0,0
2024,2,DT,737,763,590,670,780,499,2090,1949,141,987
2024,3,DJ,1408,705,1123,1287,1051,1350,3236,3688,0,0
2024,3,DT,816,812,539,664,765,513,2167,1942,225,1575
2024,4,DJ,1344,753,1215,1190,972,1198,3312,3360,0,0
2024,4,DT,825,944,616,600,693,446,2385,1739,646,4522
2024,5,DJ,1229,665,992,1083,887,1107,2886,3077,0,0
2024,5,DT,848,904,569,621,700,459,2321,1780,541,3787
2024,6,DJ,1183,634,1028,1026,836,1055,2845,2917,0,0
2024,6,DT,833,847,608,794,915,583,2288,2292,0,0
2024,7,DJ,1318,799,1237,1362,1118,1345,3354,3825,0,0
2024,7,DT,839,916,810,843,989,620,2565,2452,113,791
2024,8,DJ,1438,848,1347,1465,1196,1501,3633,4162,0,0
2024,8,DT,820,888,786,707,820,529,2494,2056,438,3066
2024,9,DJ,1128,666,1029,1026,838,1064,2823,2928,0,0
2024,9,DT,711,808,651,530,585,380,2170,1495,675,4725
2024,10,DJ,1277,763,1226,999,821,1016,3266,2836,430,3010
2024,10,DT,753,928,803,519,533,329,2484,1381,1103,7721
2024,11,DJ,1044,629,962,885,725,1010,2635,2620,15,105
2024,11,DT,728,847,634,484,523,368,2209,1375,834,5838
2024,12,DJ,1187,774,1089,1114,909,1151,3050,3174,0,0
2024,12,DT,829,947,662,601,647,422,2438,1670,768,5376
2025,1,DJ,969,1010,561,815,670,936,2540,2421,119,833
2025,1,DT,700,706,490,427,454,307,1896,1188,708,4956
2025,2,DJ,959,944,536,698,566,780,2439,2044,395,2765
2025,2,DT,602,636,380,478,540,341,1618,1359,259,1813
2025,3,DJ,952,995,583,571,444,638,2530,1653,877,6139
2025,3,DT,738,881,533,527,598,389,2152,1514,638,4466
2025,4,DJ,1002,1033,651,711,552,764,2686,2027,659,4613
2025,4,DT,715,882,528,579,664,427,2125,1670,455,3185
2025,5,DJ,1076,1140,759,611,475,730,2975,1816,1159,8113
2025,5,DT,710,829,607,471,540,361,2146,1372,774,5418
2025,6,DJ,733,770,453,462,339,430,1956,1231,725,5075
2025,6,DT,590,669,473,460,485,315,1732,1260,472,3304
2025,7,DJ,1287,1373,992,920,747,932,3652,2599,1053,7371
2025,7,DT,795,883,690,554,640,421,2368,1615,753,5271
2025,8,DJ,1230,1409,1139,1181,963,1185,3778,3329,449,3143
2025,8,DT,799,973,748,828,969,625,2520,2422,98,686
2025,9,DJ,1116,1304,848,794,628,785,3268,2207,1061,7427
2025,9,DT,766,915,618,626,714,451,2299,1791,508,3556
2025,10,DJ,1227,1396,831,721,571,720,3454,2012,1442,10094
2025,10,DT,791,939,616,630,718,473,2346,1821,525,3675
2025,11,DJ,1040,1347,807,825,666,832,3194,2323,871,6097
2025,11,DT,812,976,664,765,896,566,2452,2227,225,1575
2025,12,DJ,1054,1262,775,784,632,803,3091,2219,872,6104
2025,12,DT,774,954,680,745,882,545,2408,2172,236,1652
